followers_count,friends_count,statuses_count
3106,2775,579229
3106,3912,1723
3106,2775,579229
3099,4068,584923
3099,4729,22099
3099,4068,584939
3098,3118,244995
3095,2380,32844
3092,3530,12165
3087,929,55254
3087,553,7642
3080,3716,38691
3070,3360,6336
3070,4190,10197
3066,4462,57147
3056,1591,118406
3056,1591,118406
3056,1591,118406
3054,4052,17500
3053,732,40658
3038,3995,702
3029,5003,22982
3021,2327,48645
3009,3583,18659
3005,4998,62145
3000,4995,27991
3000,4871,126878
2997,2370,58059
2995,221,3285
2994,788,280779
2977,542,7890
2967,2930,72578
2959,2582,92415
2959,4671,11516
2959,2582,92415
2959,2582,92415
2959,2582,92415
2959,2582,92415
2953,2778,119938
2951,3871,92090
2949,3385,9002
2940,1187,78898
2933,2250,18456
2932,3172,76362
2928,2655,34084
2927,4997,115274
2926,1408,140834
2926,1408,140835
2917,3087,128038
2917,3087,128038
2916,2247,6092
2910,2979,107113
2910,155,2545
2910,155,2546
2909,4999,250865
2908,3126,7000
2903,2889,132099
2903,3497,4534
2899,2861,36988
2875,4818,463403
2872,3893,11988
2857,2475,55097
2838,2591,30065
2829,1492,62826
2814,3005,29735
2777,156,114506
2777,156,114506
2769,3774,11926
2767,976,225
2765,4984,42058
2760,2892,81977
2758,3789,95380
2757,1590,135053
2753,3458,22536
2751,2375,237836
2745,1988,4692
2744,486,3375
2743,125,19001
2731,2260,97863
2731,2260,97864
2725,2730,30083
2717,4997,141055
2717,4196,11663
2715,4955,42491
2711,4006,790481
2711,4006,790486
2702,2965,138787
2695,4565,20434
2693,794,28323
2689,2437,35109
2685,3741,224868
2685,3741,224878
2682,1589,69677
2681,4900,15840
2679,2355,2487
2678,2736,13065
2642,374,57200
2636,2131,57174
2610,2633,39151
2610,3164,48945
2608,3019,36613
2599,2847,96982
2591,568,9389
2572,250,27252
2570,847,103183
2570,1021,118393
2563,2569,11580
2563,3803,33451
2562,5000,40256
2557,3264,28352
2549,2796,30853
2548,487,47333
2546,3381,68045
2545,2458,12239
2545,2458,12239
2544,3379,9224
2538,2083,149270
2538,814,19228
2535,3167,38312
2532,4279,7336
2525,2798,13513
2518,2556,16622
2516,2513,128791
2509,412,20978
2509,412,20978
2506,2655,15511
2501,3673,12069
2495,332,29666
2493,5001,104347
2493,2720,5791
2492,823,133457
2487,2490,3150
2487,1367,204051
2484,2799,33520
2483,630,25915
2476,3480,10566
2475,2254,130212
2472,4487,127154
2469,1838,21616
2467,4998,68567
2462,2291,21027
2460,698,527
2460,699,527
2460,2241,101736
2458,699,527
2455,407,52116
2451,746,28699
2447,746,28696
2447,746,28696
2447,4200,48403
2435,1930,193977
2434,2355,21232
2434,2639,155959
2430,2662,7470
2429,4507,31355
2423,2723,11783
2410,2289,11235
2405,86,459031
2401,1117,3511
2401,5002,108502
2398,1837,3363
2396,1915,79929
2396,1915,79930
2396,1915,79943
2392,1692,85354
2392,2674,138348
2390,554,10387
2383,3538,38743
2383,3538,38745
2379,3017,27320
2378,918,23287
2367,662,894
2367,1181,7647
2366,1831,40680
2354,4331,22755
2347,1368,6410
2346,3181,8089
2346,2659,31113
2344,347,45501
2343,2828,5046
2338,4994,20401
2334,2142,7023
2334,2142,7023
2321,2531,28046
2318,3742,6483
2314,522,8821
2314,522,8822
2309,63,40523
2306,197,37770
2304,4826,117366
2303,2221,21316
2303,443,23222
2301,2617,121020
2292,2635,44923
2288,2317,16668
2284,380,29852
2284,808,121879
2281,1289,51933
2273,900,252453
2269,929,7606
2262,2436,46817
2253,3213,126261
2252,1526,61414
2251,1800,26612
2247,2315,64623
2247,1033,587424
2246,1354,22441
2246,2484,59943
2246,321,36708
2243,3215,171796
2242,626,31757
2239,1393,222729
2232,3092,13884
2221,2568,32219
2212,1514,16882
2211,1223,2232
2211,2329,22190
2206,1066,3493
2204,423,44130
2202,4116,118405
2201,1295,44544
2196,1551,14303
2191,3538,21529
2189,3568,22689
2184,525,26514
2182,1897,10769
2182,1897,10770
2181,981,68
2180,2689,289743
2176,781,66612
2176,2215,5482
2172,605,73217
2166,582,93509
2165,2876,25592
2160,2436,134161
2159,2572,34745
2157,1650,75086
2156,514,58453
2152,2031,55889
2151,2203,2856
2137,1970,63234
2133,258,42393
2130,496,49996
2126,602,281528
2119,1580,60740
2118,670,23001
2114,217,435486
2109,1005,33325
2102,1944,190006
2098,1971,2175
2088,2218,42377
2084,2793,22107
2074,548,17594
2074,548,17594
2074,360,54800
2057,2018,36416
2051,927,25107
2050,2748,23191
2049,3870,31076
2048,1954,3562
2044,1182,5214
2039,4223,80616
2039,1627,68960
2037,889,57251
2034,379,7633
2033,2320,67213
2033,4830,31172
2030,1841,5575
2028,1992,40750
2026,687,14100
2025,217,9603
2015,597,3380
2014,3962,19323
2009,1971,286082
2003,2238,2178
2003,2354,11171
2002,2148,44546
2001,1954,21573
2000,2820,138043
1995,2128,14068
1995,1903,1714
1993,1879,64739
1992,1724,1121
1991,1654,63750
1990,1475,272778
1988,4916,53066
1988,3560,10177
1982,2392,64386
1980,632,3120
1978,2295,26034
1972,592,67652
1967,214,880
1960,2148,21857
1948,4973,471170
1946,3033,97834
1940,1972,21932
1935,2142,6563
1934,4840,25903
1930,1585,201853
1924,1919,210972
1923,2460,7490
1923,2940,38841
1921,1006,14357
1920,673,37557
1920,2674,25209
1914,4102,17058
1913,196,6305
1909,3219,11603
1909,2447,31781
1905,2417,22725
1904,209,11029
1904,2138,39999
1903,2136,39967
1897,997,8912
1896,2461,18273
1887,3535,35193
1885,2631,17189
1882,5001,76006
1881,3757,195135
1881,1687,5624
1878,1308,21778
1877,1612,55527
1875,591,158827
1875,591,158827
1869,3116,27695
1867,2588,2066
1857,1462,22653
1852,529,6128
1850,4999,8511
1849,2566,8810
1849,745,4409
1848,1584,86313
1847,3580,6570
1846,1986,88996
1837,266,3399
1836,2224,1165
1835,1068,29082
1832,1572,23915
1832,1472,19260
1828,2188,28822
1822,1993,8256
1821,1740,1812
1816,852,6014
1816,852,6014
1816,852,6014
1816,852,6014
1816,852,6014
1816,338,16407
1811,3146,7121
1806,4753,13774
1805,1025,5074
1804,1381,12110
1804,68,25844
1804,68,25844
1801,4555,24833
1797,1263,65628
1796,4331,54528
1796,1439,14527
1796,937,31833
1796,937,31833
1796,937,31833
1791,857,676217
1791,857,676224
1791,857,676225
1790,2309,20757
1790,2951,204651
1790,2951,204651
1783,106,16706
1781,4617,34993
1780,1757,19067
1780,1757,19089
1778,2203,15383
1778,4004,149466
1776,2038,11274
1776,54,1381
1776,2426,24471
1776,2038,11274
1772,1755,12078
1770,1848,51105
1768,4985,92362
1768,4985,92364
1766,5000,103886
1766,5000,103888
1765,1833,33371
1762,1396,36899
1762,1396,36900
1762,1671,4219
1759,554,37243
1756,755,85849
1750,2113,14559
1749,1931,78071
1747,2966,36478
1747,1451,36150
1746,192,1487
1745,3812,7727
1745,507,74668
1744,1481,27282
1742,1495,64855
1742,1389,3863
1739,1076,37942
1739,4005,125539
1737,746,89805
1734,377,42545
1731,1728,3105
1730,606,229065
1729,1647,171646
1728,1482,28938
1727,1918,16820
1724,193,15117
1724,1269,23131
1724,943,8497
1720,1571,104297
1720,569,30245
1715,1012,55465
1713,1258,11598
1707,1179,7701
1694,4964,91121
1692,2619,120303
1691,4654,85536
1689,1447,33863
1688,1140,7598
1686,1622,9427
1683,1897,136334
1682,1340,18175
1680,1316,69222
1675,1046,20918
1672,958,11320
1671,148,37974
1670,1980,7531
1667,1657,20173
1667,1657,20174
1664,1910,71779
1664,1512,140531
1664,1960,25195
1659,300,23625
1657,675,52540
1656,1741,159503
1652,2005,27664
1650,176,851357
1650,1821,2196
1649,2454,144167
1648,1476,61587
1647,2084,46087
1645,1718,137040
1643,2609,69285
1643,2609,69285
1640,168,37881
1640,876,179939
1629,1682,50661
1624,1281,47731
1623,943,20064
1623,943,20064
1623,594,5197
1622,116,1352
1620,1944,11812
1618,699,141640
1617,5003,15156
1615,1472,15750
1613,1284,18494
1607,435,2058
1607,131,5110
1606,235,94060
1605,2624,20481
1603,1878,2252
1598,2118,38305
1596,3338,166312
1594,960,8315
1593,3198,231543
1590,3263,604
1588,712,60598
1586,728,164832
1582,651,48652
1580,3411,109124
1578,1157,30498
1577,1698,3238
1575,1739,4007
1575,1424,11455
1573,980,21864
1572,3469,111052
1572,3469,111052
1572,3469,111052
1572,3469,111062
1572,465,130112
1570,1486,54102
1570,1486,54102
1569,1565,56062
1567,1226,3286
1565,3917,14713
1564,1485,2516
1563,1383,53587
1563,2449,29760
1562,2113,8454
1560,1558,4806
1558,2635,12651
1558,1399,1919
1558,2093,60146
1556,1879,103457
1554,705,25621
1553,873,39302
1551,3559,43924
