followers_count,friends_count,statuses_count
85,333,994
366,292,1581
346960,972,37439
133,304,5899
3575,698,58689
6405,4046,156922
5163,5119,8471
119,414,2066
232,251,320
581,2916,29746
18,26,1045
829,944,85720
5709,5175,22731
93,83,55929
2679,2355,2487
47,3,229684
1766,5000,103888
82,363,2406
101,396,11055
20,78,1693
115,863,19807
680,1057,15196
88,143,4446
723,1087,26467
2,1,88
876,1938,41490
133,545,9804
307,270,68705
5,117,1653
938,1856,44601
105,222,876
3479,4559,29779
208,829,10721
303,135,297
458,326,2033
11196,1339,17879
44,41,2690
65,528,186
314,250,6508
18418,1497,20880
67,187,6362
220,223,2279
1776,54,1381
141,604,38637
216,369,17812
759,619,12480
476,1193,29821
338,397,45539
2346,3181,8089
6329,2344,122004
2088,2218,42377
277,376,4073
395,1177,7013
47,74,15391
61,333,12633
522,773,6164
286,588,14463
177,238,754
18418,1497,20880
749,745,105905
309,334,2497
6983,7066,243825
22,132,1214
2910,155,2545
483,430,8084
269,240,6977
87,200,14256
30,315,3840
3373,1410,20719
5750,5580,535329
6376,5216,141989
406,1277,8487
924,853,22186
563,1014,16274
456,995,42795
102,98,11122
49,201,5316
38,104,95
4277,5000,85734
18,44,928
4370,2220,9830
293,1353,303855
33789,33963,461205
3780,3710,63239
328,843,9443
9,43,466
271,411,20164
168,121,48097
7123,6550,528242
697,838,4406
626,502,15343
646,1070,7369
109,116,305
10,70,20
30596,33128,336556
567,944,40905
49,190,4392
230,762,16269
876,1026,41166
23000,24729,141288
2383,3538,38743
48,43,304
55,510,542
250,856,7272
617,130,5157
2447,746,28696
211,280,6762
91,94,1175
245,291,8243
2246,1354,22441
11539,12692,214977
3444,1392,18875
8349,7323,3257
2015,597,3380
69,79,5068
235,372,135501
1215,1215,9345
230,199,177
2916,2247,6092
1266,733,126495
610,499,33550
89,141,581
1117,1347,7015
2,158,2430
8192,8206,99527
8722,8692,75803
228,217,1121
96,58,1086
927,1408,16920
256,343,18498
338,366,6514
18,99,10233
11370,12412,95345
42,95,582
79,129,2167
531,428,4549
0,48,26
377,304,5205
223,153,1905
296,77,12820
4604,4803,384986
5610,265,9153
35,246,961
408,1011,49972
4,6,279
808,353,20403
1216,860,202671
98,578,7482
3233,2411,758
9,237,1620
323,328,30973
253,161,19586
394,22,37350
5031,4427,57445
170,184,5721
15663,16582,33703
42,131,758
3685,251,15695
1087,1729,3783
696,572,85523
30,386,364
131,1038,15804
16,88,233
7897,8335,19503
37,313,1076
58,149,1591
14721,575,92097
469,351,82499
358,1786,14533
1288,635,83216
294,972,3603
18,110,2948
27,47,701
231,301,19095
78044,56005,332931
486,101,3009
487,232,652
2033,2320,67213
117,248,5203
3982,4318,61754
83,102,4819
575,986,28262
107,627,10983
288,364,1122
660,601,38389
1586,728,164832
78,184,11889
740,456,315
1749,1931,78071
23,142,1025
79,824,5550
3893,4893,311220
14,100,6123
147,179,5204
320,165,2139
210,283,1612
685,4985,66550
10,41,136
552,525,20752
148665,10201,168130
191,1380,3847
3430,1838,138456
7,239,387
87,204,16021
832,814,28164
427,847,4982
838,625,11954
585,1302,39188
1032,215,35389
2475,2254,130212
238,456,2288
356,388,20344
9804,10751,91812
355,259,1457
47,127,767
236,84,2263
45,195,1968
3570,1879,307344
535,510,76807
597,564,56991
252,576,28963
24,398,992
1496,5001,401171
3095,2380,32844
5,59,27
494,742,24123
3808,3979,9969
2636,2131,57174
678,660,9449
836,734,12167
298,135,2061
3143,1275,40326
355,255,45349
19,150,661
14950,11197,733727
240,193,24144
134,205,1858
355,1231,14093
126,181,250
154,1454,34911
6,10,20
68,126,1235
1730,606,229065
19,238,264
1009,2547,48671
1,0,82
495,896,5699
46,166,1262
613,1953,15543
813,3506,54900
5,223,483
20,191,509
348,186,23497
698,515,74500
6506,6686,92145
11480,3329,54482
275,190,80
132,160,31388
116,511,2520
710,780,50111
16646,3184,89356
22,26,151
3419,4338,22149
271,302,2113
1835,1068,29082
160,358,18896
25,225,3883
922,455,122424
1294,948,79568
32,24,11852
1,51,5
101,189,22566
10585,10967,82933
976,468,6188
2284,808,121879
83257,81448,632607
6018,6622,182532
3947,499,6208
278,294,3307
572,430,44314
1624,1281,47731
203,441,1204
139,100,2527
53,179,7698
129,25,4568
170,432,1284
49,47,4634
2518,2556,16622
661,839,2415
24,180,1556
168,869,4333
2,12,43
2926,1408,140834
591,311,32838
248,1682,10156
100,733,20849
656,2468,27874
816,726,75493
92,954,2019
4498,359,23307
680,913,8431
419,324,3614
2685,3741,224868
289,250,7632
2557,3264,28352
18600,19820,60917
562,440,12792
44,204,1222
256,406,530
53,99,1663
711,353,11594
8260,8349,144514
4,310,1590
696,154,1411
3209,5595,48929
20,163,759
5165,4945,99660
24,197,2819
5750,5580,535329
3946,3761,159389
138,367,1318
5155,5547,12174
294,2162,325085
121,304,766
465,104,6977
7657,4728,463879
115,355,17404
1727,1918,16820
6852,7481,44386
72326,61888,434777
1249,1219,71797
24,67,57
88,118,221
42,250,8045
1980,632,3120
207,705,5617
4579,4907,45394
100,397,9642
849,1635,23963
350,521,14832
81,110,9549
294,416,13916
8,14,280
54,123,760
168,162,3376
1882,5001,76006
3504,3673,25393
900,554,5225
41,139,1116
146,867,939
2232,3092,13884
2814,3005,29735
295,509,35396
180,434,1365
4644,5082,110050
1477,3588,19521
20,52,178
1768,4985,92364
671,1021,32407
7,47,636
307,310,2790
6329,2344,122004
747,969,8050
3523,999,32742
4801,5286,68344
255,471,2773
588,2589,6875
3215,5000,14298
49305,32293,35925
8,99,679
176,98,18278
11329,10787,131809
2678,2736,13065
1479,1727,7946
2221,2568,32219
1164,328,152140
361,1019,317886
3066,4462,57147
1247,727,4834
3583,5002,67183
16807,18468,68281
601,576,22240
249,600,9167
239,602,3559
189,192,859
5,60,88
465,470,64820
248,128,6317
643,1357,21490
118,1419,1330
7406,7498,32239
1558,2635,12651
39,643,2871
528,2134,18029
335,760,5128
49,111,4828
588,2589,6875
3,54,1566
9,97,91
10210,7820,45438
10436,9526,68162
43,196,870
4619,502,5679
112,110,235
1065,832,69203
92,495,386
70,47,9237
3649,4982,71219
687,808,5646
1345,99,6989
8,39,338
382,110,3526
6014,6611,105103
125,296,19078
4657,280,94764
219,546,18196
75,1400,1315
105,171,68545
96,147,25622
352,667,13486
149,210,575
564,4993,57929
235,372,135501
17,248,1799
695,819,15864
142,157,1649
14160,6620,6106
107419,102975,149500
640,489,18843
101,183,1335
1009,2547,48671
5,173,1445
216,171,7582
1144,1055,187853
808,878,1966
368,230,6940
93,271,18539
887,1789,161929
267,606,58547
12130,1566,16416
16,185,8387
4079,252,151870
5206,5446,12374
13263,53,3361
36,780,299
879,601,2539
314,1285,4786
147,121,7425
52,210,816
6,74,109
768,366,52464
526,555,8817
1386,1584,79199
593,316,2809
140,398,1283
103,360,13672
63,371,824
134,218,12313
6113,5391,14216
39,254,31
758,974,12927
425,760,329985
18,137,139
1605,2624,20481
6659,6803,7796
524,366,30876
23,55,1805
33875,1067,61268
88,336,2500
5579,5488,15223
1416,987,12056
2838,2591,30065
111,217,614
2,120,10
24,57,652
167,160,5708
24,102,5032
274,315,865
1512,1513,50244
26,7,85959
7033,7490,211579
4166,4813,24495
366,1204,2430
1580,3411,109124
3284,3681,9210
16386,15337,110394
4209,4992,26339
308,162,210
1415,4870,35494
101,212,2817
590,683,8335
222,411,3375
1791,857,676217
3000,4871,126878
1762,1396,36899
1030,827,71059
259,289,12190
1,0,1
129,230,73989
423,683,22282
28000,28713,25432
423,558,42967
824,679,8228
3881,5001,140850
237,1116,9458
1333,2521,24892
12484,12660,209787
1429,1598,25909
128,535,42
23730,21608,164332
18,0,214286
4510,490,65606
312,615,2552
548,240,13405
5136,4591,188763
1217,946,47408
825,554,24938
888,227,49493
23939,23760,143205
1412,1943,74656
347,1403,16330
76,48,601
36956,39794,486259
220,284,3829
107,918,38156
1227,5000,48757
197,126,52693
3256,3681,41111
618,665,6668
3380,3540,52083
6,27,13
1588,712,60598
4398,4918,99579
2525,2798,13513
116,391,928
17633,18673,260102
146,249,1487
278,294,3307
5971,6491,194221
135,170,75
8616,9465,136860
506,194,88928
551,535,15503
668,272,17095
1924,1919,210972
277,289,310106
5011,5009,321648
21,90,1216
26306,22764,163064
62,378,258
56,34,1822
313,453,29638
3,89,101
2039,4223,80616
102,517,3280
864,831,5735
683,136,1760
253,818,18557
41,264,54304
4588,3839,19561
480,2078,45008
1783,106,16706
30,318,1225
1367,3466,25401
3629,440,2703
420,479,3026
84,31,56017
1000,1563,26117
5929,6477,86636
358,61,67484
624,1444,1532
150,148,5189
191,844,756
128,63,1929
54902,47778,252196
251,283,3397
2003,2238,2178
4347,2319,136147
173,167,15122
14,85,107
852,859,20865
1188,898,6956
52342,50765,102529
29,282,20974
524,987,10657
147,411,39768
1640,876,179939
49,293,14382
199,423,7305
1419,2386,41606
3317,3262,111148
857,4460,37317
517,3596,7413
3288,3231,31891
1089,206,16754
107,145,27260
2253,3213,126261
365,410,354
263,718,26357
60,836,4435
125,383,3717
520,359,23642
514,396,17465
5760,1114,129547
1664,1512,140531
4,198,123
126,931,1495
4039,4747,101100
78,31,38012
78,535,315
148,173,2438
999,639,55716
189,76,59079
356,223,5270
1099,2112,201378
5103,5605,79393
1237,1172,25397
412,564,24081
1401,434,25956
893,1294,38382
1563,1383,53587
1875,591,158827
6,97,1316
284,1976,3308
175,320,1297
1119,1407,64237
1,104,421
133,45,811
3836,4998,166240
761,857,31019
2102,1944,190006
63,315,1289
69,833,108730
1009,2547,48671
195,637,814
214,359,8044
358,322,29569
7460,443,2411
2460,699,527
232,646,4383
1094,1716,81048
24,116,97
942,1319,18735
42,250,437
128,179,258
815,828,14756
2702,2965,138787
1016,2159,6493
1233,1846,24270
511,1048,13462
33004,20890,30349
32,256,548
2051,927,25107
341,210,837
719,980,8040
1978,2295,26034
1364,989,68294
235,372,135501
1570,1486,54102
544,1291,209783
6406,5322,1302
1526,1004,48611
13,106,238
772,435,8711
544,619,484
741,1634,23838
15,162,1307
1291,1002,140740
112,376,2231
203,256,14919
5440,5101,207423
978,297,47828
704,2641,77439
42,217,1652
2570,847,103183
341,265,2381
188,108,28833
466,441,48354
1724,1269,23131
1376,1512,3069
626,1313,7913
649,995,19355
217,268,140
55,85,11576
560,529,15118
18,44,928
1551,3559,43924
271,608,109497
23,56,6178
3621,3554,28447
1828,2188,28822
29975,31764,253534
9333,9302,352823
4,90,401
45,591,3723
49,133,330
365,334,541
5,62,71
1044,2468,72124
0,8,261
226,1344,1960
8812,194,29959
41,300,7345
968,757,54455
430,725,148024
1623,943,20064
135,64,20458
363,20,34781
2608,3019,36613
26,39,3219
57,242,3984
1324,1725,40619
1288,635,83217
777,632,24178
880,2186,13653
231,378,1564
533,1070,5541
681,771,21422
3099,4729,22099
61,189,1177
1920,673,37557
17,57,115
2460,2241,101736
1237,1631,206496
390,237,16227
9427,9447,34436
169,1012,12392
2769,3774,11926
728,1170,13274
4,127,344
37,152,3616
676,338,116369
31,171,2475
11613,4360,77742
58,88,423
333,1290,5671
563,55,1382
77,122,4467
854,915,33334
4113,2071,165880
96,259,26873
48,88,5980
93,69,1288
215,516,2143
577,1903,12082
3497,2733,117008
1650,176,851357
1521,46,10645
4340,5001,17692
514,502,22282
109,326,47057
205,665,5209
388,847,24221
810,975,8692
931,870,55476
4275,4944,9328
57,125,17
5488,5579,117339
11,25,368
1194,1255,4722
164,2177,31156
3502,4990,51974
108,2,28000
2,26,669
118,937,46
354,460,35159
2447,4200,48403
1175,447,301327
669,1453,8618
120,210,4755
32,146,909
2309,63,40523
744,869,49506
630,164,5504
15135,618,23397
340,761,24667
0,1,107
571,200,6576
129,164,15810
744,1513,4380
737,1574,129704
16671,17240,28846
151,487,791
1352,1287,14862
664,1298,23745
10,42,261
1107,1410,68927
468,412,16079
82,857,1259
1025,908,39061
34,336,1695
206,217,9119
145,148,896
1307,308,52333
940,529,16995
45,149,20083
316,103,9398
70,492,8896
1379,4117,13322
869,1884,6335
526,314,152932
53,594,1481
242,478,36657
90,654,9635
192,173,19241
142,2281,6752
369,259,12657
590,1758,21950
661,623,14715
1578,1157,30498
125,377,13054
11,28,1516
2119,1580,60740
1148,4515,23105
15,182,668
3087,553,7642
495,545,71582
69,63,9536
67,356,19084
63,255,2672
1262,2020,57891
252,623,12203
288,1472,792
585,763,2592
3123,5002,174588
5842,5950,75509
4498,359,23307
23,139,283
97,345,9254
48,123,2683
196,711,3838
67,976,1985
22,187,1422
848,289,139717
4210,1279,589626
10,95,209
2401,1117,3511
123,544,42
542,545,5410
1539,4334,13737
1321,1545,31290
260,435,1941
9,53,684
10,112,1100
244,608,11070
